customer_message_id,conversation_id,author_id,created_dt,text,parent_id,brand_parent_text,brand_parent_time,reply_gap_minutes,char_len,has_url,has_brand_mention,is_acknowledgment_like,script_cjk,script_devanagari,script_cyrillic,script_arabic,script_thai,episode_flags,episode_status
270,272,115770,2017-11-22 09:24:30+00:00,@AmazonHelp ありがとうございます。 今、電話で主人が対応していただいてます。,269,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,2017-11-22 09:23:01+00:00,1.4833333333333334,44,False,True,False,True,False,False,False,False,non_latin_script_signal,FLAG
271,272,115770,2017-11-22 09:30:36+00:00,@AmazonHelp 電話で対応してもらいましたが改良されませんでした。 保証期間も過ぎてるので買い直しになるんでしょうね。,269,@115770 こんにちは、アマゾン公式です。Fire TV Stickが見れないというのは、どのような状況でしょうか。一般的なトラブルシューティングを記載したヘルプがございますので、ご参照ください。https://t.co/2pbG55qJ7h ET,2017-11-22 09:23:01+00:00,7.583333333333333,63,False,True,False,True,False,False,False,False,non_latin_script_signal,FLAG
274,272,115770,2017-11-22 09:44:04+00:00,@AmazonHelp こちらこそありがとうございました。,273,@115770 カスタマーサービスにてお問い合わせ済みとのことで、お手数をおかけいたしました。リプライいただきありがとうございました。ET,2017-11-22 09:40:27+00:00,3.6166666666666667,29,False,True,False,True,False,False,False,False,non_latin_script_signal,FLAG
616,617,115820,2017-10-31 23:22:08+00:00,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",615,"@115820 I'm sorry we've let you down! Without providing any personal information, will you describe the issue? We'd love to help. ^TN",2017-10-31 22:29:00+00:00,53.13333333333333,147,False,True,False,False,False,False,False,False,,KEEP
619,617,115820,2017-10-31 23:32:26+00:00,"@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today.",618,@115820 We'd like to take a further look into this with you! Please reach us by phone or chat here: https://t.co/hApLpMlfHN ^AG,2017-10-31 23:28:00+00:00,4.433333333333334,105,False,True,False,False,False,False,False,False,,KEEP
623,624,115824,2017-10-31 22:32:07+00:00,"@AmazonHelp Okay, danke für die Info",622,"@115824 Hi, wir erhalten die Filme/Serien so vom jeweiligen Studio. Gebe ich aber direkt als Feedback dorthin weiter. Gruß ^JS",2017-10-31 22:28:00+00:00,4.116666666666666,36,False,True,False,False,False,False,False,False,,KEEP
627,630,115827,2017-11-01 12:50:18+00:00,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,626,@115826 I'm sorry for the wait. You'll receive an email as soon as we have an estimated delivery date. ^FJ,2017-10-31 22:28:00+00:00,862.3,148,False,True,False,False,False,False,False,False,,KEEP
638,643,115834,2017-10-31 22:19:56+00:00,@AmazonHelp Hi ready for some help,639,"@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW",2017-10-31 01:09:35+00:00,1270.35,34,False,True,False,False,False,False,False,False,,KEEP
641,643,115834,2017-10-31 01:02:39+00:00,@AmazonHelp Nothing there helped me with the Echo Show,642,"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",2017-10-31 00:52:39+00:00,10.0,54,False,True,False,False,False,False,False,False,,KEEP
645,646,115835,2017-11-01 08:04:52+00:00,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,644,@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY,2017-10-31 22:25:27+00:00,579.4166666666666,135,False,True,False,False,False,False,False,False,,KEEP
651,652,115838,2017-10-31 22:25:58+00:00,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",650,@115838 Oh no! We want to hear more about your experience with AMZL. Please provide your feedback here: https://t.co/hApLpMlfHN ^SH,2017-10-31 22:24:47+00:00,1.1833333333333333,142,False,True,False,False,False,False,False,False,,KEEP
654,652,115838,2017-10-31 22:53:50+00:00,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,653,"@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL",2017-10-31 22:52:02+00:00,1.8,104,False,True,False,False,False,False,False,False,,KEEP
657,659,115839,2017-10-31 22:18:42+00:00,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",658,@115839 I'm sorry your book arrived this way! You can find replacement/refund options here: https://t.co/zRrkpVcaDF ^VS,2017-10-31 22:11:00+00:00,7.7,70,False,True,False,False,False,False,False,False,,KEEP
666,667,115843,2017-11-01 01:26:58+00:00,@AmazonHelp Aww your reply made her night!,665,@115843 You're not lion! She even shows witch way is up! That's quite the wardrobe! ^AC,2017-10-31 22:19:29+00:00,187.48333333333332,42,False,True,False,False,False,False,False,False,,KEEP
669,672,115844,2017-10-31 22:21:12+00:00,@AmazonHelp I just said it's been sorted! I've been refunded! I'm just not impressed with the service any more.,668,@115844 Oh my! I'm sorry for the troubles! Contact us by Phone or Chat: https://t.co/JzP7hlA23B &amp; we'll be glad to help! ^FR,2017-10-31 22:18:00+00:00,3.2,111,False,True,False,False,False,False,False,False,,KEEP
685,690,115849,2017-11-01 05:26:45+00:00,@AmazonHelp Details sent. Please check.,684,@115849 Please share your details here:https://t.co/GIJyeYqKE0 and I'll get back to you. 2/2 ^HD,2017-10-31 22:17:00+00:00,429.75,39,False,True,False,False,False,False,False,False,,KEEP
686,690,115849,2017-10-31 22:06:53+00:00,@AmazonHelp Already contacted 3-4 times in the last month. But all I got was assurance that matter is escalated &amp; new status will be provided in 1 day!,689,@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,2017-10-31 21:54:32+00:00,12.35,155,False,True,False,False,False,False,False,False,,KEEP
1693,1695,116081,2017-10-31 22:54:54+00:00,@AmazonHelp but I can’t find the options to cancel or re-order?,1692,@116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ,2017-10-31 22:43:00+00:00,11.9,63,False,True,False,False,False,False,False,False,,KEEP
1694,1695,116081,2017-10-31 22:54:29+00:00,@AmazonHelp Thanks for quick response. Pic attached. https://t.co/yNhYE638YS,1692,@116081 Hey Georgia! Sorry you haven't received your package. We'd love to help! What does the current tracking say on your order? ^AJ,2017-10-31 22:43:00+00:00,11.483333333333333,76,True,True,False,False,False,False,False,False,,KEEP
1698,1699,116082,2017-10-31 22:47:50+00:00,@AmazonHelp Thats the thing I told customer service. I created a new email address for the Prime trial and forgot it. What can I do so I'm not charged?,1697,@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,2017-10-31 22:42:00+00:00,5.833333333333333,151,False,True,False,False,False,False,False,False,,KEEP
1701,1699,116082,2017-10-31 22:58:06+00:00,@AmazonHelp You have to log in. I don't remember the email address I used. Can you look up the account by my bank information?,1700,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,2017-10-31 22:52:33+00:00,5.55,126,False,True,False,False,False,False,False,False,,KEEP
1702,1699,116082,2017-10-31 23:00:14+00:00,@AmazonHelp They sent me the email I sent you guys that said I wasn't gonna be charged. He must have been able to look up my account a different way.,1700,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,2017-10-31 22:52:33+00:00,7.683333333333334,149,False,True,False,False,False,False,False,False,,KEEP
1703,1699,116082,2017-10-31 22:59:37+00:00,@AmazonHelp I tried my phone number but I didnt have a mobile account. I went through this for 2 hours on the phone with someone.,1700,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,2017-10-31 22:52:33+00:00,7.066666666666666,129,False,True,False,False,False,False,False,False,,KEEP
