customer_message_id,conversation_id,author_id,created_dt,text,parent_id,reply_gap_minutes,has_url,is_acknowledgment_like,episode_status,embedding_input
616,617,115820,2017-10-31 23:22:08+00:00,"@AmazonHelp 3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day",615,53.13333333333333,False,False,KEEP,"3 different people have given 3 different answers and I still don't have my order. Says delivered Saturday, was not, I was home all day"
619,617,115820,2017-10-31 23:32:26+00:00,"@AmazonHelp I frankly don't have the patience for another chat with your ""customer service"" people today.",618,4.433333333333334,False,False,KEEP,"I frankly don't have the patience for another chat with your ""customer service"" people today."
623,624,115824,2017-10-31 22:32:07+00:00,"@AmazonHelp Okay, danke für die Info",622,4.116666666666666,False,False,KEEP,"Okay, danke für die Info"
627,630,115827,2017-11-01 12:50:18+00:00,@AmazonHelp @115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August,626,862.3,False,False,KEEP,@115826 Yeah this is crazy we’re less than a week away and still no Shipping Information on something that we Pre-ordered back in August
638,643,115834,2017-10-31 22:19:56+00:00,@AmazonHelp Hi ready for some help,639,1270.35,False,False,KEEP,Hi ready for some help
641,643,115834,2017-10-31 01:02:39+00:00,@AmazonHelp Nothing there helped me with the Echo Show,642,10.0,False,False,KEEP,Nothing there helped me with the Echo Show
645,646,115835,2017-11-01 08:04:52+00:00,@AmazonHelp That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?,644,579.4166666666666,False,False,KEEP,That page is useless - doesn’t allow me to state it hasn’t been delivered; only tells me it has! How can you sort this out?
651,652,115838,2017-10-31 22:25:58+00:00,"@AmazonHelp I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?",650,1.1833333333333331,False,False,KEEP,"I don't want a form to fill out that logs a response no one reads. I want to prevent AMZL from touching my stuff. Possible, or no?"
654,652,115838,2017-10-31 22:53:50+00:00,@AmazonHelp Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645,653,1.8,False,False,KEEP,Already started the return. UPS gets it from my doorstep tomorrow. Order 111-5014070-4118645
657,659,115839,2017-10-31 22:18:42+00:00,"@AmazonHelp Already handled, just venting. It was a pretty big bummer.",658,7.7,False,False,KEEP,"Already handled, just venting. It was a pretty big bummer."
